rank,worth_billions,category,name,age,country,city,source,industry,countryOfCitizenship,self_made,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,age_group,worth_tier,year,company_founded,company_name,company_relationship,company_sector,company_type,country_code,gdp,region,wealth_type,wealth_category,from_emerging,inherited_raw,was_founder,was_political,inherited
1,211.0,Fashion & Retail,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,False,U,male,1949-03-05 00:00:00,Arnault,Bernard,2023-04-04 05:01:00,1949.0,3.0,5.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,70s,100B+,2023,,,,,,,,,,,,,,,
2,180.0,Automotive,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,D,male,1971-06-28 00:00:00,Musk,Elon,2023-04-04 05:01:00,1971.0,6.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,100B+,2023,,,,,,,,,,,,,,,
3,114.0,Technology,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,True,D,male,1964-01-12 00:00:00,Bezos,Jeff,2023-04-04 05:01:00,1964.0,1.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,100B+,2023,,,,,,,,,,,,,,,
4,107.0,Technology,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,True,U,male,1944-08-17 00:00:00,Ellison,Larry,2023-04-04 05:01:00,1944.0,8.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,100B+,2023,,,,,,,,,,,,,,,
5,106.0,Finance & Investments,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,True,D,male,1930-08-30 00:00:00,Buffett,Warren,2023-04-04 05:01:00,1930.0,8.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,90+,100B+,2023,,,,,,,,,,,,,,,
6,104.0,Technology,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,True,D,male,1955-10-28 00:00:00,Gates,Bill,2023-04-04 05:01:00,1955.0,10.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,100B+,2023,,,,,,,,,,,,,,,
7,94.5,Media & Entertainment,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,U,male,1942-02-14 00:00:00,Bloomberg,Michael,2023-04-04 05:01:00,1942.0,2.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,10–100B,2023,,,,,,,,,,,,,,,
8,93.0,Telecom,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,True,U,male,1940-01-28 00:00:00,Slim Helu,Carlos,2023-04-04 05:01:00,1940.0,1.0,28.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,80s,10–100B,2023,,,,,,,,,,,,,,,
9,83.4,Diversified,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,False,D,male,1957-04-19 00:00:00,Ambani,Mukesh,2023-04-04 05:01:00,1957.0,4.0,19.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,60s,10–100B,2023,,,,,,,,,,,,,,,
10,80.7,Technology,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,True,D,male,1956-03-24 00:00:00,Ballmer,Steve,2023-04-04 05:01:00,1956.0,3.0,24.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,10–100B,2023,,,,,,,,,,,,,,,
11,80.5,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,False,U,female,1953-07-10 00:00:00,Bettencourt Meyers,Francoise,2023-04-04 05:01:00,1953.0,7.0,10.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,60s,10–100B,2023,,,,,,,,,,,,,,,
12,79.2,Technology,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,True,D,male,1973-03-26 00:00:00,Page,Larry,2023-04-04 05:01:00,1973.0,3.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,10–100B,2023,,,,,,,,,,,,,,,
13,77.3,Fashion & Retail,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,True,U,male,1936-03-28 00:00:00,Ortega,Amancio,2023-04-04 05:01:00,1936.0,3.0,28.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,80s,10–100B,2023,,,,,,,,,,,,,,,
14,76.0,Technology,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,True,D,male,1973-08-21 00:00:00,Brin,Sergey,2023-04-04 05:01:00,1973.0,8.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,40s,10–100B,2023,,,,,,,,,,,,,,,
15,68.0,Food & Beverage,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,True,U,male,1954-12-01 00:00:00,Zhong,Shanshan,2023-04-04 05:01:00,1954.0,12.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,60s,10–100B,2023,,,,,,,,,,,,,,,
16,64.4,Technology,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,True,D,male,1984-05-14 00:00:00,Zuckerberg,Mark,2023-04-04 05:01:00,1984.0,5.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,30s,10–100B,2023,,,,,,,,,,,,,,,
17,59.0,Diversified,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,False,D,male,1935-11-01 00:00:00,Koch,Charles,2023-04-04 05:01:00,1935.0,11.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,10–100B,2023,,,,,,,,,,,,,,,
17,59.0,Diversified,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,False,D,female,1962-04-12 00:00:00,Koch,Julia,2023-04-04 05:01:00,1962.0,4.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,10–100B,2023,,,,,,,,,,,,,,,
19,58.8,Fashion & Retail,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,D,male,1948-06-07 00:00:00,Walton,Jim,2023-04-04 05:01:00,1948.0,6.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,10–100B,2023,,,,,,,,,,,,,,,
20,57.6,Fashion & Retail,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,D,male,1944-10-27 00:00:00,Walton,Rob,2023-04-04 05:01:00,1944.0,10.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,10–100B,2023,,,,,,,,,,,,,,,
21,56.7,Fashion & Retail,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,False,D,female,1949-10-07 00:00:00,Walton,Alice,2023-04-04 05:01:00,1949.0,10.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,10–100B,2023,,,,,,,,,,,,,,,
22,54.4,Media & Entertainment,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,False,U,male,1957-06-12 00:00:00,Thomson,David,2023-04-04 05:01:00,1957.0,6.0,12.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,60s,10–100B,2023,,,,,,,,,,,,,,,
23,50.1,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,True,D,male,1965-02-23 00:00:00,Dell,Michael,2023-04-04 05:01:00,1965.0,2.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,10–100B,2023,,,,,,,,,,,,,,,
24,47.2,Diversified,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,True,D,male,1962-06-24 00:00:00,Adani,Gautam,2023-04-04 05:01:00,1962.0,6.0,24.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,60s,10–100B,2023,,,,,,,,,,,,,,,
25,45.1,Fashion & Retail,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,True,D,male,1938-02-24 00:00:00,Knight,Phil,2023-04-04 05:01:00,1938.0,2.0,24.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,10–100B,2023,,,,,,,,,,,,,,,
26,45.0,Technology,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,True,D,male,1984-01-01 00:00:00,Zhang,Yiming,2023-04-04 05:01:00,1984.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,30s,10–100B,2023,,,,,,,,,,,,,,,
27,42.9,Fashion & Retail,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,False,D,male,1939-09-24 00:00:00,Schwarz,Dieter,2023-04-04 05:01:00,1939.0,9.0,24.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,80s,10–100B,2023,,,,,,,,,,,,,,,
28,40.1,Fashion & Retail,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,True,D,male,1936-08-21 00:00:00,Pinault,François,2023-04-04 05:01:00,1936.0,8.0,21.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,80s,10–100B,2023,,,,,,,,,,,,,,,
29,39.1,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,False,U,male,1937-06-02 00:00:00,Kuehne,Klaus-Michael,2023-04-04 05:01:00,1937.0,6.0,2.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,80s,10–100B,2023,,,,,,,,,,,,,,,
30,38.9,Food & Beverage,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,False,U,male,1964-09-21 00:00:00,Ferrero,Giovanni,2023-04-04 05:01:00,1964.0,9.0,21.0,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936,50s,10–100B,2023,,,,,,,,,,,,,,,
31,38.3,Food & Beverage,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,False,U,female,1939-10-10 00:00:00,Mars,Jacqueline,2023-04-04 05:01:00,1939.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,10–100B,2023,,,,,,,,,,,,,,,
31,38.3,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,U,male,1935-10-15 00:00:00,Mars,John,2023-04-04 05:01:00,1935.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,10–100B,2023,,,,,,,,,,,,,,,
33,38.0,Diversified,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,True,U,male,1928-06-13 00:00:00,Li,Ka-shing,2023-04-04 05:01:00,1928.0,6.0,13.0,,,,,,,,,,,,90+,10–100B,2023,,,,,,,,,,,,,,,
34,35.3,Technology,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,True,D,male,1971-10-29 00:00:00,Ma,Huateng,2023-04-04 05:01:00,1971.0,10.0,29.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,50s,10–100B,2023,,,,,,,,,,,,,,,
35,35.0,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,U,female,1945-10-10 00:00:00,Adelson,Miriam,2023-04-04 05:01:00,1945.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,10–100B,2023,,,,,,,,,,,,,,,
35,35.0,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,True,U,male,1968-10-15 00:00:00,Griffin,Ken,2023-04-04 05:01:00,1968.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,10–100B,2023,,,,,,,,,,,,,,,
37,34.7,Food & Beverage,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,False,N,male,1992-05-07 00:00:00,Mateschitz,Mark,2023-04-04 05:01:00,1992.0,5.0,7.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072,30s,10–100B,2023,,,,,,,,,,,,,,,
38,33.4,Automotive,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,True,D,male,1969-01-01 00:00:00,Zeng,Robin,2023-04-04 05:01:00,1969.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,50s,10–100B,2023,,,,,,,,,,,,,,,
39,32.6,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,U,male,1949-02-07 00:00:00,Yanai,Tadashi,2023-04-04 05:01:00,1949.0,2.0,7.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,70s,10–100B,2023,,,,,,,,,,,,,,,
40,32.1,Diversified,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,True,D,male,1957-06-01 00:00:00,Blavatnik,Len,2023-04-04 05:01:00,1957.0,6.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,60s,10–100B,2023,,,,,,,,,,,,,,,
41,31.6,Fashion & Retail,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,False,U,male,1948-08-28 00:00:00,Wertheimer,Alain,2023-04-04 05:01:00,1948.0,8.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,10–100B,2023,,,,,,,,,,,,,,,
41,31.6,Fashion & Retail,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,False,U,male,1951-01-09 00:00:00,Wertheimer,Gerard,2023-04-04 05:01:00,1951.0,1.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,10–100B,2023,,,,,,,,,,,,,,,
43,31.2,Logistics,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,Split Family Fortune,male,1940-06-27 00:00:00,Aponte,Gianluigi,2023-04-04 05:01:00,1940.0,6.0,27.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,80s,10–100B,2023,,,,,,,,,,,,,,,
